date,settlement_price
"2025-05-07",28.69
"2025-05-08",28.67
"2025-05-09",28.92
"2025-05-12",29.15
"2025-05-13",28.96
"2025-05-14",29.09
"2025-05-15",28.5
"2025-05-16",28.2
"2025-05-19",27.95
"2025-05-20",28.0
"2025-05-21",27.94
"2025-05-22",27.94
"2025-05-23",28.01
"2025-05-26",28.01
"2025-05-27",27.81
"2025-05-28",27.71
"2025-05-29",27.65
"2025-05-30",27.61
"2025-06-02",27.69
"2025-06-03",27.65
"2025-06-04",27.59
"2025-06-05",27.58
"2025-06-06",27.6
"2025-06-09",27.66
"2025-06-10",27.57
"2025-06-11",27.45
"2025-06-12",27.47
"2025-06-13",27.57
"2025-06-16",27.59
"2025-06-17",27.88
"2025-06-18",28.42
"2025-06-19",28.42
"2025-06-20",28.59
"2025-06-23",28.66
"2025-06-24",28.62
"2025-06-25",29.19
"2025-06-26",28.96
"2025-06-27",28.83
"2025-06-30",29.14
"2025-07-01",29.09
"2025-07-02",29.1
"2025-07-03",28.96
"2025-07-04",28.96
"2025-07-07",28.9
"2025-07-08",28.85
"2025-07-09",28.89
"2025-07-10",29.01
"2025-07-11",29.19
"2025-07-14",29.08
"2025-07-15",28.9
"2025-07-16",28.96
"2025-07-17",29.05
"2025-07-18",28.99
"2025-07-21",28.82
"2025-07-22",28.85
"2025-07-23",28.82
"2025-07-24",28.8
"2025-07-25",28.78
"2025-07-28",28.78
"2025-07-29",29.12
"2025-07-30",29.19
"2025-07-31",29.06
"2025-08-01",28.95
"2025-08-04",28.77
"2025-08-05",28.93
"2025-08-06",28.99
"2025-08-07",28.93
"2025-08-08",29.07
"2025-08-11",29.07
"2025-08-12",29.06
"2025-08-13",29.05
"2025-08-14",28.95
"2025-08-15",29.08
"2025-08-18",29.1
"2025-08-19",29.72
"2025-08-20",29.9
"2025-08-21",29.65
"2025-08-22",29.52
"2025-08-25",29.55
"2025-08-26",29.69
"2025-08-27",29.58
"2025-08-28",30.17
"2025-08-29",30.23
"2025-09-01",30.23
"2025-09-02",30.08
"2025-09-03",29.98
"2025-09-04",29.76
"2025-09-05",29.4
"2025-09-08",29.47
"2025-09-09",29.29
"2025-09-10",31.38
"2025-09-11",32.08
"2025-09-12",32.57
"2025-09-15",33.24
"2025-09-16",32.72
"2025-09-17",31.81
"2025-09-18",32.05
"2025-09-19",32.12
"2025-09-22",31.99
"2025-09-23",32.0
"2025-09-24",31.97
"2025-09-25",31.86
"2025-09-26",31.9
"2025-09-29",31.7
"2025-09-30",31.81
"2025-10-01",32.01
"2025-10-02",32.53
"2025-10-03",32.76
"2025-10-06",32.94
"2025-10-07",32.85
"2025-10-08",32.96
"2025-10-09",32.94
"2025-10-10",33.09
"2025-10-13",33.3
"2025-10-14",33.34
"2025-10-15",33.29
"2025-10-16",33.35
"2025-10-17",33.35
"2025-10-20",33.19
"2025-10-21",32.86
"2025-10-22",32.85
"2025-10-23",32.82
"2025-10-24",32.87
"2025-10-27",32.82
"2025-10-28",32.67
"2025-10-29",33.07
"2025-10-30",33.18
"2025-10-31",32.74
"2025-11-03",31.76
"2025-11-04",31.64
"2025-11-05",31.39
"2025-11-06",31.33
"2025-11-07",31.04
"2025-11-10",31.06
"2025-11-11",30.99
"2025-11-12",30.91
"2025-11-13",30.91
"2025-11-14",30.76
"2025-11-17",30.68
"2025-11-18",30.93
"2025-11-19",30.95
"2025-11-20",30.94
"2025-11-21",30.92
"2025-11-24",30.82
"2025-11-25",30.7
"2025-11-26",30.61
"2025-11-27",30.61
"2025-11-28",30.16
"2025-12-01",29.94
"2025-12-02",29.97
"2025-12-03",30.09
"2025-12-04",30.23
"2025-12-05",30.61
"2025-12-08",30.76
"2025-12-09",30.73
"2025-12-10",30.8
"2025-12-11",30.91
"2025-12-12",31.08
"2025-12-15",31.26
"2025-12-16",31.17
"2025-12-17",31.17
"2025-12-18",31.27
"2025-12-19",31.42
"2025-12-22",31.42
"2025-12-23",31.49
"2025-12-24",31.59
"2025-12-26",31.67
"2025-12-29",31.54
"2025-12-30",31.77
"2025-12-31",31.92
"2026-01-02",32.69
"2026-01-05",33.12
"2026-01-06",33.24
"2026-01-07",33.3
"2026-01-08",32.73
"2026-01-09",31.31
"2026-01-12",32.01
"2026-01-13",32.55
"2026-01-14",31.82
"2026-01-15",31.68
"2026-01-16",30.84
"2026-01-19",30.84
"2026-01-20",30.63
"2026-01-21",30.22
"2026-01-22",30.12
"2026-01-23",30.2
"2026-01-26",29.56
"2026-01-27",29.45
"2026-01-28",29.38
"2026-01-29",28.99
"2026-01-30",28.73
"2026-02-02",28.76
"2026-02-03",28.72
"2026-02-04",28.77
"2026-02-05",28.79
"2026-02-06",28.82
"2026-02-09",29.05
"2026-02-10",28.86
"2026-02-11",28.72
"2026-02-12",28.65
"2026-02-13",28.63
"2026-02-16",28.63
"2026-02-17",28.57
"2026-02-18",28.68
"2026-02-19",28.82
"2026-02-20",28.73
"2026-02-23",28.73
"2026-02-24",28.73
"2026-02-25",28.75
"2026-02-26",28.59
"2026-02-27",28.46
"2026-03-02",28.21
"2026-03-03",28.27
"2026-03-04",28.47
"2026-03-05",28.45
"2026-03-06",28.37
"2026-03-09",28.26
"2026-03-10",28.23
"2026-03-11",28.27
"2026-03-12",28.04
"2026-03-13",28.05
"2026-03-16",28.04
"2026-03-17",28.01
"2026-03-18",28.1
"2026-03-19",27.96
"2026-03-20",28.02
"2026-03-23",28.11
"2026-03-24",28.24
"2026-03-25",28.3
"2026-03-26",28.32
"2026-03-27",28.24
"2026-03-30",28.23
"2026-03-31",27.98
"2026-04-01",28.16
"2026-04-02",27.97
"2026-04-06",28.09
"2026-04-07",27.97
"2026-04-08",28.1
"2026-04-09",28.02
"2026-04-10",28.06
"2026-04-13",28.27
"2026-04-14",28.67
"2026-04-15",28.34
"2026-04-16",28.24
"2026-04-17",28.26
"2026-04-20",28.32
"2026-04-21",28.24
"2026-04-22",28.21
"2026-04-23",28.18
"2026-04-24",28.14
"2026-04-27",28.15
"2026-04-28",28.26
"2026-04-29",28.24
"2026-04-30",28.22
"2026-05-01",28.21
"2026-05-04",28.16
"2026-05-05",28.16
"2026-05-06",28.22
"2026-05-07",28.17
"2026-05-08",28.14
"2026-05-11",28.06
"2026-05-12",28.26
"2026-05-13",28.35
"2026-05-14",28.74
"2026-05-15",28.85
"2026-05-18",29.12
"2026-05-19",29.16
"2026-05-20",29.73
"2026-05-21",29.67
"2026-05-22",29.78
"2026-05-25",29.78
"2026-05-26",29.76
